"Ημερομηνία","Ημέρα","AM","Επίθετο","Ονομα","Διεύθυνση","Συμπληρωματική Διεύθυνση","Δήμος Κοινότητα","Τηλέφωνο 
Φαρμακείου","Τηλέφωνο 
Οικίας"
01/10/20,"Πέμπτη",1040,"Ελευθερίου","Βασιλική","Παύλου Βαλδασερίδη 30","Δρόμος CARREFOUR, έναντι ΖΟΡΠΑΣ","Λάρνακα",24103501,"24103909"
01/10/20,"Πέμπτη",826,"Ιακωβίδης","Σταύρος","Λεωφ. Φανερωμένης αρ. 189-191",,"Λάρνακα",24637499,"24657045"
02/10/20,"Παρασκευή",599,"Σεβέρης","Μάριος","Παύλου Βαλδασερίδη 8","Πλησίον CARREFOUR","Λάρνακα",24639410,"24662497"
02/10/20,"Παρασκευή",1162,"Ραμίρεζ","Λύδια","Λεωφ. Παπανικολή 31Α","Δρόμος Σταδίου Ανόρθωσης","Λάρνακα",24634390,"96323458"
03/10/20,"Σάββατο",363,"Ανδρέου","Δέσποινα","Λεωφ. Αρτέμιδος 30","Δρόμος Αεροδρομίου","Λάρνακα",24656884,"24361084"
03/10/20,"Σάββατο",282,"Χριστοδούλου","Παύλος","Ερμού 51Γ",,"Λάρνακα",24652702,"24360054"
04/10/20,"Κυριακή",954,"Περικλέους","Ζόριτσα","Λεωφ. Γρίβα Διγενή 24","Μεταξύ φώτων Δροσιάς και φώτων πυροσβεστικής, έναντι ESSO","Λάρνακα",24624374,"24645918"
04/10/20,"Κυριακή",588,"Χριστοδούλου","Μαργαρίτα","Γωνία Αρμενικής Εκκλησίας 2","Πλησίον CYTA, Κέντρο πόλεως","Λάρνακα",24652440,"24626763"
05/10/20,"Δευτέρα",698,"Ζόππου","Γεωργία","Λεωφ. Φανερωμένης 122","Πλησίον Ελληνικής Τράπεζας","Λάρνακα",24622810,"24651003"
05/10/20,"Δευτέρα",743,"Λάμπη","Μαρία","Αρχ. Μακαρίου ΙΙΙ & Γρηγ. Αυξεντίου","Ακάμια Center","Λάρνακα",24626447,"24361185"
06/10/20,"Τρίτη",546,"Βέρνη","Λένια","Γιάννου Κρανιδιώτη 31-33","Μεταξύ Τροχαίας Λάρνακας & Κτηνιατρείου","Λάρνακα",24638470,"24533055"
06/10/20,"Τρίτη",466,"Αποστολίδης","Παύλος","Κοσμά  Λυσιώτη 20","Τέρμα Ερμού προς παραλία","Λάρνακα",24627213,"24423271"
07/10/20,"Τετάρτη",759,"Συνεσίου","Μαρία","Λεωφ.Στρ.Τιμάγια 5","Μέγαρο Κυριάκος, Δίπλα από Marks & Spencer","Λάρνακα",24638765,"24634887"
07/10/20,"Τετάρτη",991,"Κυρίτσης","Μάριος","Διανέλλου 107","Κοντά στην εκκλησία Χρυσοπολίτισσα","Λάρνακα",24656514,"24625038"
08/10/20,"Πέμπτη",693,"Παπαδοπούλου","Λίζα","Φανερωμένης 143","Έναντι Αποθήκης Σόλων Νεοφύτου","Λάρνακα",24654380,"24624699"
08/10/20,"Πέμπτη",697,"Δημητρίου","Ανδρέας","Αρχ. Μακαρίου ΙΙΙ 44","Φωτα  ΕΘΝΙΚΗΣ τραπεζας - εναντι SAMSONITE","Λάρνακα",24822422,"24812188"
09/10/20,"Παρασκευή",971,"Ιωαννίδου","Χρυστάλλα","1ης Απριλίου 14",,"Λάρνακα",24650565,"99917405"
09/10/20,"Παρασκευή",461,"Καίμης","Κύπρος","Αρχιεπισκόπου Μακαρίου ΙΙΙ 88","Έναντι PEUGEOT","Λάρνακα",24637044,"24626339"
10/10/20,"Σάββατο",586,"Μαυρή","Λουίζα","Στρατηγού Τιμάγια 9","Συντεχνιακό φαρμακείο ΠΕΟ","Λάρνακα",24655312,"96720773"
